,Library,Equivalence,Color Set,Supertree Set,Min Cover Set,Get mT,Get Sm,Total
15,raphael,0.015822887420654297,10.191812992095947,0.0043108463287353516,0.0022039413452148438,0.00016307830810546875,1.0728836059570312e-05,10.241300106048584
16,require.js,0.01614999771118164,1.5545148849487305,0.0028917789459228516,0.0011551380157470703,0.00031185150146484375,2.1219253540039062e-05,1.5995028018951416
17,riot,0.27024292945861816,9.320097208023071,0.023074865341186523,0.009680986404418945,0.0012524127960205078,0.0001049041748046875,9.654079914093018
18,sammy.js,0.00011181831359863281,0.0018382072448730469,4.00543212890625e-05,2.574920654296875e-05,1.33514404296875e-05,2.1457672119140625e-06,0.0022280216217041016
19,scrollmagic,4.1961669921875e-05,1.9073486328125e-06,2.1457672119140625e-06,9.5367431640625e-07,9.5367431640625e-07,0.0,6.103515625e-05
20,seajs,0.0007708072662353516,0.06414461135864258,0.0002491474151611328,0.00013589859008789062,8.106231689453125e-05,5.9604644775390625e-06,0.06627297401428223
21,socket.io,0.016659975051879883,1.1208813190460205,0.0020761489868164062,0.0008087158203125,0.00012302398681640625,2.0265579223632812e-05,1.1452009677886963
22,spf,0.0009529590606689453,0.0011777877807617188,2.5033950805664062e-05,1.0728836059570312e-05,5.245208740234375e-06,1.9073486328125e-06,0.002366781234741211
23,sugar,0.016659975051879883,0.6711289882659912,0.0006544589996337891,0.0004150867462158203,5.435943603515625e-05,1.7881393432617188e-05,0.7023119926452637
24,three.js,4.084574937820435,925.8912129402161,0.16784071922302246,0.06396651268005371,0.0020449161529541016,9.107589721679688e-05,930.5833189487457
25,tween.js,0.0054950714111328125,0.08453702926635742,0.0002624988555908203,0.00016427040100097656,5.507469177246094e-05,1.5974044799804688e-05,0.09173893928527832
26,two.js,0.008142948150634766,10.147616624832153,0.004929065704345703,0.0020487308502197266,0.00020265579223632812,1.1920928955078125e-05,10.175575017929077
27,underscore.js,0.047467947006225586,19.37767267227173,0.009992837905883789,0.002521991729736328,0.0004942417144775391,4.100799560546875e-05,19.477380990982056
28,velocity,0.01116490364074707,1.5478224754333496,0.001607656478881836,0.0014884471893310547,0.00021958351135253906,1.3113021850585938e-05,1.5895400047302246
29,visibility.js,0.0010001659393310547,0.013617753982543945,0.00013494491577148438,6.508827209472656e-05,3.981590270996094e-05,4.0531158447265625e-06,0.015494108200073242
30,webfont,0.0012111663818359375,0.0021593570709228516,3.647804260253906e-05,2.4318695068359375e-05,1.4066696166992188e-05,6.9141387939453125e-06,0.0036389827728271484
31,yepnope,0.0002608299255371094,0.0002830028533935547,1.4066696166992188e-05,1.1682510375976562e-05,9.5367431640625e-06,1.9073486328125e-06,0.000659942626953125
32,yui,0.05272412300109863,0.5521731376647949,0.0013349056243896484,0.0007615089416503906,0.0001068115234375,2.0265579223632812e-05,0.6102950572967529
33,zepto,0.026453018188476562,1.750169277191162,0.0009884834289550781,0.0005042552947998047,4.553794860839844e-05,6.9141387939453125e-06,1.7925209999084473
