Library,Url,CDNJS,GitHub Star,avg. |V|,avg. |Vm|,# Versions,# Sep by PT,# Sep by LDC,No Version by LDC,Fineness (PT),Fineness (LDC),F(PT)/F(LDC),False (LDC),|V|
Prototype,http://prototypejs.org,https://cdnjs.com/libraries/prototype,3519.0,788.0,3.0,5,5,5,,1.0,1.0,1.0,,3940
CamanJS,http://camanjs.com/,https://cdnjs.com/libraries/camanjs,3513.0,170.9,5.1,18,17,14,,0.94,0.78,1.21,,3076
Processing.js,http://processingjs.org,https://cdnjs.com/libraries/processing.js,3090.0,104.2,3.6,51,32,26,,0.63,0.51,1.23,6.0,5313
Sammy,http://sammyjs.org,https://cdnjs.com/libraries/sammy.js,2993.0,30.7,3.0,6,6,6,,1.0,1.0,1.0,,184
MooTools,http://mootools.net,https://cdnjs.com/libraries/mootools,2628.0,997.0,3.3,3,3,3,,1.0,1.0,1.0,,2991
yepnope,http://yepnopejs.com/,https://cdnjs.com/libraries/yepnope,2522.0,21.5,3.8,11,4,1,Y,0.36,0.09,4.0,,236
LABjs,https://github.com/getify/LABjs,https://cdnjs.com/libraries/labjs,2278.0,24.0,2.0,3,2,1,Y,0.67,0.33,2.0,,72
SPF,https://youtube.github.io/spfjs/,https://cdnjs.com/libraries/spf,2194.0,86.5,1.5,11,2,1,Y,0.18,0.09,2.0,,951
Pusher,https://pusher.com/docs/,https://cdnjs.com/libraries/pusher,1989.0,128.2,3.1,60,19,16,,0.32,0.27,1.19,,7690
IfVisible.js,http://serkanyersen.github.io/ifvisible.js/,https://cdnjs.com/libraries/ifvisible,1947.0,31.2,2.0,6,2,1,Y,0.33,0.17,2.0,,187
Ink,http://ink.sapo.pt/,https://cdnjs.com/libraries/ink,1908.0,1.0,0.0,3,1,1,Y,0.33,0.33,1.0,,3
Mapbox,https://www.mapbox.com/,https://cdnjs.com/libraries/mapbox.js,1903.0,997.0,4.0,4,4,4,,1.0,1.0,1.0,,3988
Visibility.js,https://github.com/ai/visibilityjs,https://cdnjs.com/libraries/visibility.js,1815.0,43.9,5.0,11,11,1,Y,0.55,0.09,6.0,,483
jQuery Tools,http://jquerytools.github.io/,https://cdnjs.com/libraries/jquery-tools,1804.0,995.0,4.0,2,2,2,,1.0,1.0,1.0,,1990
Dojo,http://dojotoolkit.org,https://cdnjs.com/libraries/dojo,1531.0,957.9,4.2,75,75,75,,1.0,1.0,1.0,,71842
InfoVis,http://philogb.github.com/jit/,https://cdnjs.com/libraries/jit,1508.0,761.5,4.0,2,2,2,,1.0,1.0,1.0,,1523
AmplifyJS,http://amplifyjs.com/,https://cdnjs.com/libraries/amplifyjs,1457.0,7.0,0.0,3,1,1,Y,0.33,0.33,1.0,,21
Qooxdoo,http://www.qooxdoo.org/,https://cdnjs.com/libraries/qooxdoo,758.0,908.7,4.9,15,15,1,Y,1.0,0.07,15.0,,13631
Ext JS,https://www.sencha.com/products/extjs/,https://cdnjs.com/libraries/extjs,,991.2,4.0,4,4,4,,1.0,1.0,1.0,,3965
Rapha&euml;l,http://dmitrybaranovskiy.github.io/raphael/,https://cdnjs.com/libraries/raphael,,684.3,3.6,30,25,25,,0.83,0.83,1.0,5.0,20529
Underscore,http://underscorejs.org/,https://cdnjs.com/libraries/underscore.js,,289.1,3.0,75,75,75,,1.0,1.0,1.0,,21685
